========== LLM-AS-A-JUDGE FOR MERGE AND BASE MODEL SUMMARY ==========
A2__Uniform__LoRA    | a2_middle_1310_test       | Faith=2.17 ± 0.90     | Fluency=2.75 ± 1.53     | Style=2.42 ± 1.19     | Overall=2.25 ± 1.01    
A2__Uniform__LoRA    | real_97_test              | Faith=2.06 ± 1.21     | Fluency=2.70 ± 1.55     | Style=2.30 ± 1.41     | Overall=2.14 ± 1.28    
A2__Uniform__LoRA    | a2_early_1260_test        | Faith=1.90 ± 1.22     | Fluency=2.50 ± 1.20     | Style=1.90 ± 1.04     | Overall=1.90 ± 1.22    
A2__Uniform__LoRA    | a2_late_1360_test         | Faith=2.83 ± 1.21     | Fluency=3.17 ± 1.34     | Style=3.00 ± 1.29     | Overall=3.00 ± 1.29    
A2__FisherAllLayers__LoRA | a2_middle_1310_test       | Faith=2.17 ± 1.07     | Fluency=2.75 ± 1.36     | Style=2.25 ± 1.01     | Overall=2.17 ± 1.07    
A2__FisherAllLayers__LoRA | real_97_test              | Faith=1.82 ± 1.06     | Fluency=2.24 ± 1.52     | Style=1.98 ± 1.24     | Overall=1.88 ± 1.14    
A2__FisherAllLayers__LoRA | a2_early_1260_test        | Faith=1.90 ± 1.22     | Fluency=2.30 ± 1.62     | Style=2.20 ± 1.47     | Overall=1.90 ± 1.22    
A2__FisherAllLayers__LoRA | a2_late_1360_test         | Faith=2.00 ± 1.16     | Fluency=2.00 ± 1.16     | Style=2.00 ± 1.16     | Overall=2.00 ± 1.16    
A2__FisherPlusSNR50__LoRA | a2_middle_1310_test       | Faith=1.75 ± 1.16     | Fluency=2.17 ± 1.34     | Style=1.92 ± 1.26     | Overall=1.75 ± 1.16    
A2__FisherPlusSNR50__LoRA | real_97_test              | Faith=2.10 ± 1.14     | Fluency=2.52 ± 1.42     | Style=2.20 ± 1.19     | Overall=2.09 ± 1.13    
A2__FisherPlusSNR50__LoRA | a2_early_1260_test        | Faith=2.50 ± 1.02     | Fluency=2.70 ± 1.42     | Style=2.30 ± 1.00     | Overall=2.40 ± 1.02    
A2__FisherPlusSNR50__LoRA | a2_late_1360_test         | Faith=1.83 ± 0.90     | Fluency=2.00 ± 1.00     | Style=2.00 ± 1.00     | Overall=1.83 ± 0.90    
