=== FINAL SUMMARY FINE TUNED MODLES  ===
a1_lexical_expert         | a1_lexical_test        | BLEU=35.27 | chrF=60.75 | ROUGE-L=57.06 | METEOR=0.57 | BERT=84.89 | TokF1=57.13
a1_lexical_expert         | real_97_test           | BLEU=21.86 | chrF=46.11 | ROUGE-L=43.33 | METEOR=0.45 | BERT=79.13 | TokF1=43.08
a1_syntactic_expert       | a1_syntactic_test      | BLEU=16.24 | chrF=50.11 | ROUGE-L=41.81 | METEOR=0.45 | BERT=81.21 | TokF1=40.24
a1_syntactic_expert       | real_97_test           | BLEU=22.11 | chrF=48.31 | ROUGE-L=44.20 | METEOR=0.46 | BERT=80.94 | TokF1=45.27
a1_semantic_expert        | a1_semantic_test       | BLEU=9.49 | chrF=34.15 | ROUGE-L=28.49 | METEOR=0.29 | BERT=75.92 | TokF1=29.38
a1_semantic_expert        | real_97_test           | BLEU=15.12 | chrF=41.69 | ROUGE-L=35.44 | METEOR=0.38 | BERT=78.26 | TokF1=36.00
a2_early_expert           | a2_early_1260_test     | BLEU=41.07 | chrF=65.32 | ROUGE-L=62.10 | METEOR=0.67 | BERT=86.87 | TokF1=59.93
a2_early_expert           | real_97_test           | BLEU=28.65 | chrF=51.84 | ROUGE-L=48.23 | METEOR=0.51 | BERT=82.58 | TokF1=48.16
a2_middle_expert          | a2_middle_1310_test    | BLEU=32.37 | chrF=54.35 | ROUGE-L=47.86 | METEOR=0.51 | BERT=83.25 | TokF1=48.19
a2_middle_expert          | real_97_test           | BLEU=30.02 | chrF=53.35 | ROUGE-L=52.00 | METEOR=0.53 | BERT=83.52 | TokF1=51.25
a2_late_expert            | a2_late_1360_test      | BLEU=57.78 | chrF=70.92 | ROUGE-L=71.49 | METEOR=0.75 | BERT=90.23 | TokF1=72.81
a2_late_expert            | real_97_test           | BLEU=18.83 | chrF=43.83 | ROUGE-L=37.56 | METEOR=0.39 | BERT=78.90 | TokF1=37.99
a1_merged_lora            | a1_lexical_test        | BLEU=22.31 | chrF=49.77 | ROUGE-L=42.30 | METEOR=0.45 | BERT=83.24 | TokF1=41.21
a1_merged_lora            | a1_syntactic_test      | BLEU=17.47 | chrF=49.63 | ROUGE-L=41.64 | METEOR=0.44 | BERT=82.86 | TokF1=40.32
a1_merged_lora            | a1_semantic_test       | BLEU=12.14 | chrF=34.72 | ROUGE-L=30.30 | METEOR=0.32 | BERT=77.33 | TokF1=31.30
a1_merged_lora            | real_97_test           | BLEU=19.08 | chrF=47.17 | ROUGE-L=43.39 | METEOR=0.46 | BERT=81.48 | TokF1=43.53
a1_merged_full            | a1_lexical_test        | BLEU=27.46 | chrF=55.42 | ROUGE-L=46.92 | METEOR=0.50 | BERT=85.49 | TokF1=48.63
a1_merged_full            | a1_syntactic_test      | BLEU=19.87 | chrF=51.33 | ROUGE-L=47.06 | METEOR=0.49 | BERT=84.44 | TokF1=45.38
a1_merged_full            | a1_semantic_test       | BLEU=9.71 | chrF=36.06 | ROUGE-L=28.41 | METEOR=0.29 | BERT=76.54 | TokF1=28.58
a1_merged_full            | real_97_test           | BLEU=19.15 | chrF=46.68 | ROUGE-L=42.41 | METEOR=0.45 | BERT=81.17 | TokF1=42.76
