========== LLM-AS-A-JUDGE SUMMARY ==========
gpt4_1_fewshot       | a2_middle_1310_test       | Faith=4.75 ± 0.43     | Fluency=5.00 ± 0.00     | Style=4.83 ± 0.37     | Overall=4.75 ± 0.43    
gpt4_1_fewshot       | a1_syntactic_test         | Faith=4.17 ± 0.37     | Fluency=5.00 ± 0.00     | Style=4.50 ± 0.50     | Overall=4.33 ± 0.47    
gpt4_1_fewshot       | a1_lexical_test           | Faith=4.60 ± 0.49     | Fluency=5.00 ± 0.00     | Style=4.80 ± 0.40     | Overall=4.80 ± 0.40    
gpt4_1_fewshot       | a2_early_1260_test        | Faith=4.70 ± 0.46     | Fluency=5.00 ± 0.00     | Style=4.90 ± 0.30     | Overall=4.80 ± 0.40    
gpt4_1_fewshot       | real_97_test              | Faith=4.64 ± 0.59     | Fluency=5.00 ± 0.00     | Style=4.84 ± 0.36     | Overall=4.75 ± 0.52    
gpt4_1_fewshot       | a2_late_1360_test         | Faith=4.50 ± 0.50     | Fluency=5.00 ± 0.00     | Style=4.67 ± 0.47     | Overall=4.67 ± 0.47    
gpt4_1_fewshot       | a1_semantic_test          | Faith=4.40 ± 0.49     | Fluency=5.00 ± 0.00     | Style=4.80 ± 0.40     | Overall=4.80 ± 0.40    
gemini2_5_fewshot    | a2_middle_1310_test       | Faith=4.00 ± 0.63     | Fluency=5.00 ± 0.00     | Style=4.50 ± 0.50     | Overall=4.30 ± 0.46    
gemini2_5_fewshot    | a1_syntactic_test         | Faith=4.50 ± 0.50     | Fluency=5.00 ± 0.00     | Style=5.00 ± 0.00     | Overall=5.00 ± 0.00    
gemini2_5_fewshot    | a1_lexical_test           | Faith=4.40 ± 0.49     | Fluency=5.00 ± 0.00     | Style=4.80 ± 0.40     | Overall=4.60 ± 0.49    
gemini2_5_fewshot    | a2_early_1260_test        | Faith=4.70 ± 0.46     | Fluency=5.00 ± 0.00     | Style=4.90 ± 0.30     | Overall=4.90 ± 0.30    
gemini2_5_fewshot    | real_97_test              | Faith=4.41 ± 0.55     | Fluency=4.98 ± 0.14     | Style=4.64 ± 0.48     | Overall=4.56 ± 0.52    
